name,url,location,non-meetup.com?
Rust Montréal,https://www.meetup.com/Rust-Montreal/,"Montréal, QC, Canada",no.  
Rust Vilnius,https://www.meetup.com/Rust-in-Vilnius/,"Vilnius, Lithuania",no.  
Rust Medellin,https://www.meetup.com/rust-medellin/,"Medellin, Colombia",no.  
Rust Rhein-Main,https://www.meetup.com/rust-rhein-main/,"Darmstadt, Germany",no.  
Belgium Rust user group,https://www.meetup.com/belgium-rust-user-group/,"Brussels, Belgium",no.  
Rust Basel,https://www.meetup.com/rust-basel/,"Basel, Switzerland",no.  
impl Zagreb for Rust,https://www.meetup.com/zagreb-rust-meetup/,"Zagreb, Croatia",no.  
Cap Hill Rust Coding/Hacking/Learning,https://www.meetup.com/cap-hill-rust/,"Seattle, WA, USA",no.  
Oxford Rust Meetup Group,https://www.meetup.com/oxford-rust-meetup-group/,"Oxford, K2, United Kingdom",no.  
Mountain View  Rust Meetup,https://www.meetup.com/mv-rust-meetup/,"Mountain View, CA, USA",no.  
Rust Franken,https://www.meetup.com/rust-nerf/,"Erlangen, Germany",no.  
Rust Bern,https://www.meetup.com/rust-bern/,"Bern, Switzerland",no.  
Rust Hack & Learn Karlsruhe,https://www.meetup.com/Rust-Hack-Learn-Karlsruhe/,"Karlsruhe, Germany",no.  
Deep Dish Rust,https://www.meetup.com/deep-dish-rust/,"Chicago, IL, USA",no.  
Vilnius Rust and Go Meetup Group,https://www.meetup.com/vilnius-rust-go-meetup-group/,"Vilnius, Lithuania",no.  
Rust Czech Republic,https://www.meetup.com/rust-czech-republic/,"Prague, Czech Republic",no.  
Ottawa Rust Language Meetup,https://www.meetup.com/Ottawa-Rust-Language-Meetup/,"Ottawa, ON, Canada",no.  
Rust Belfast Meetup,https://www.meetup.com/Rust-Belfast-Meetup/,"Belfast, R3, United Kingdom",no.  
Pasadena Thursday Go / Rust,https://www.meetup.com/thursday-go/,"Pasadena, CA, USA",no.  
Hack-away with Rust,https://www.meetup.com/hack-away-with-rust/,"Espoo, Finland",no.  
